"In which among the following states is the Indus Civilization city Lothal?","Karnataka","Rajasthan","West Bengal","Gujarat","d"
"What is the SI unit of electric charge?","Ampere","Coulomb","Volt","Ohm","b"
"Which planet is known as the Red Planet?","Earth","Mars","Jupiter","Venus","b"
"What is the chemical symbol for Gold?","Go","Au","Ag","Gd","b"
"Who painted the Mona Lisa?","Michelangelo","Leonardo da Vinci","Raphael","Donatello","b"
"What is the hardest natural substance on Earth?","Gold","Iron","Diamond","Platinum","c"
"What is the square root of 144?","10","11","12","13","c"
"Which gas is most abundant in the Earth's atmosphere?","Oxygen","Hydrogen","Carbon Dioxide","Nitrogen","d"
"What is the capital of Japan?","Beijing","Seoul","Tokyo","Bangkok","c"
"How many continents are there?","5","6","7","8","c"
